cv_algo	cv_param1	cv_param2	cv_val1	cv_val2	algo	level	mq_cnt	nc_cnt	sample_id	sample_type	best_cluster	best_match	majority_rule
hdbscan	min_cluster_size	min_samples	100.0	5	intersect	exact	15	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	100.0	5	ocsvm	strain	14	10	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	100.0	5	ocsvm	exact	14	10	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	100.0	5	denovo	strain	7	6	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	100.0	5	denovo	exact	7	6	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	100.0	10	hdbscan	strain	12	12	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	100.0	10	hdbscan	exact	12	12	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	100.0	10	intersect	strain	15	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	100.0	10	intersect	exact	15	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	100.0	10	ocsvm	strain	14	10	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	100.0	10	ocsvm	exact	14	10	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	100.0	10	denovo	strain	6	6	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	100.0	10	denovo	exact	6	6	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	100.0	15	hdbscan	strain	12	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	100.0	15	hdbscan	exact	12	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	100.0	15	intersect	strain	15	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	100.0	15	intersect	exact	15	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	100.0	15	ocsvm	strain	14	10	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	100.0	15	ocsvm	exact	14	9	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	100.0	15	denovo	strain	5	5	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	100.0	15	denovo	exact	5	5	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	100.0	25	hdbscan	strain	12	11	Skin_18	Skin	3	Urogenital_2	MR
hdbscan	min_cluster_size	min_samples	100.0	25	hdbscan	exact	12	11	Skin_18	Skin	3	Urogenital_2	MR
